concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
45956931	Self-emulsifying glyceryl monostearate	Observation	SNOMED	Substance	S	3578611000001105	19700101	20991231	
45956935	Sibutramine hydrochloride	Observation	SNOMED	Substance	S	3579011000001108	19700101	20991231	
45956943	Yellow soft paraffin	Observation	SNOMED	Substance	S	3330611000001108	19700101	20991231	
45956945	Magnesium oxide light	Observation	SNOMED	Substance	S	3565611000001107	19700101	20991231	
45956950	Lanolin oil	Observation	SNOMED	Substance	S	3563811000001107	19700101	20991231	
45956951	Water for injection	Observation	SNOMED	Substance	S	3330811000001107	19700101	20991231	
45956953	Wool alcohols ointment	Observation	SNOMED	Substance	S	3331111000001106	19700101	20991231	
45956958	Magnesium oxide hydrated	Observation	SNOMED	Substance	S	3589811000001106	19700101	20991231	
45956966	Glucose anhydrous	Observation	SNOMED	Substance	S	3589411000001109	19700101	20991231	
45956967	Rice powder pre-cooked	Observation	SNOMED	Substance	S	3541311000001106	19700101	20991231	
45956968	Disodium hydrogen citrate	Observation	SNOMED	Substance	S	3528711000001102	19700101	20991231	
45956973	Sodium phosphate	Observation	SNOMED	Substance	S	14676611000001104	20081106	20991231	
45956978	Clemastine hydrogen fumarate	Observation	SNOMED	Substance	S	3664811000001101	19700101	20991231	
45956984	Ammonia solution dilute	Observation	SNOMED	Substance	S	3732411000001107	19700101	20991231	
45956987	Storax prepared	Observation	SNOMED	Substance	S	3755411000001103	19700101	20991231	
45956988	Benzoin sumatra	Observation	SNOMED	Substance	S	3754711000001105	19700101	20991231	
45956994	Acetylated wool alcohols	Observation	SNOMED	Substance	S	16662511000001103	20100202	20991231	
45957002	Isopentane	Observation	SNOMED	Substance	S	3899211000001107	19700101	20991231	
45957005	Ammonia solution strong	Observation	SNOMED	Substance	S	3948711000001107	19700101	20991231	
45957009	Rhubarb extract	Observation	SNOMED	Substance	S	4030111000001102	19700101	20991231	
45957014	Povidone K25	Observation	SNOMED	Substance	S	4034011000001105	19700101	20991231	
45957015	Ketotifen hydrogen fumarate	Observation	SNOMED	Substance	S	4032111000001103	19700101	20991231	
45957020	Camphor oil rectified	Observation	SNOMED	Substance	S	4119611000001104	19700101	20991231	
45957026	Cobaltous sulfate monohydrate	Observation	SNOMED	Substance	S	4173611000001105	19700101	20991231	
45957031	Orotic acid anhydrous	Observation	SNOMED	Substance	S	4174711000001104	19700101	20991231	
45957032	Potassium sulfate	Observation	SNOMED	Substance	S	4174911000001102	19700101	20991231	
45957036	Quillaia liquid extract	Observation	SNOMED	Substance	S	4246811000001104	19700101	20991231	
45957037	Chloroform water double strength	Observation	SNOMED	Substance	S	4246611000001103	19700101	20991231	
45957038	Sodium lauryl ether sulfo-succinate	Observation	SNOMED	Substance	S	4266511000001105	19700101	20991231	
45957039	Sodium lauryl ether sulfate	Observation	SNOMED	Substance	S	4266411000001106	19700101	20991231	
45957041	Purified talc	Observation	SNOMED	Substance	S	4318311000001106	19700101	20991231	
45957043	Wood naphtha	Observation	SNOMED	Substance	S	4337411000001107	19700101	20991231	
