ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4023538	4023538	0	0
4023539	4023539	0	0
4023540	4023540	0	0
4023541	4023541	0	0
4023542	4023542	0	0
4023543	4023543	0	0
4023546	4023546	0	0
4023547	4023547	0	0
4023559	4023559	0	0
4023560	4023560	0	0
4023561	4023561	0	0
4023562	4023562	0	0
4023563	4023563	0	0
4023564	4023564	0	0
4023565	4023565	0	0
4023566	4023566	0	0
4023569	4023569	0	0
4023574	4023574	0	0
4023575	4023575	0	0
4023586	4023586	0	0
4036881	4036881	0	0
4036882	4036882	0	0
4036883	4036883	0	0
4036884	4036884	0	0
4036885	4036885	0	0
4036886	4036886	0	0
4036888	4036888	0	0
4036889	4036889	0	0
4036890	4036890	0	0
4036891	4036891	0	0
4036892	4036892	0	0
4036893	4036893	0	0
4036894	4036894	0	0
4036895	4036895	0	0
4036896	4036896	0	0
4036897	4036897	0	0
4036898	4036898	0	0
4036899	4036899	0	0
4036900	4036900	0	0
4036901	4036901	0	0
4036902	4036902	0	0
4036903	4036903	0	0
4036904	4036904	0	0
4036905	4036905	0	0
4036906	4036906	0	0
4036907	4036907	0	0
4036908	4036908	0	0
4036909	4036909	0	0
4036910	4036910	0	0
4036911	4036911	0	0
4036912	4036912	0	0
4036913	4036913	0	0
4036914	4036914	0	0
4036915	4036915	0	0
4036916	4036916	0	0
4036917	4036917	0	0
4036918	4036918	0	0
4036919	4036919	0	0
4036920	4036920	0	0
4036921	4036921	0	0
4036922	4036922	0	0
4036923	4036923	0	0
4034472	4034472	0	0
4034473	4034473	0	0
4034474	4034474	0	0
4034475	4034475	0	0
4025569	4025569	0	0
4025570	4025570	0	0
4023608	4023608	0	0
4023609	4023609	0	0
4023610	4023610	0	0
4023613	4023613	0	0
4023614	4023614	0	0
4023617	4023617	0	0
4023620	4023620	0	0
4023622	4023622	0	0
4023623	4023623	0	0
4023628	4023628	0	0
4023629	4023629	0	0
4023630	4023630	0	0
4023454	4023454	0	0
4023455	4023455	0	0
4023456	4023456	0	0
4023457	4023457	0	0
4023458	4023458	0	0
4023459	4023459	0	0
4023460	4023460	0	0
4023461	4023461	0	0
4023462	4023462	0	0
4023463	4023463	0	0
4023464	4023464	0	0
4023465	4023465	0	0
4023466	4023466	0	0
4023467	4023467	0	0
4023470	4023470	0	0
4026339	4026339	0	0
4026340	4026340	0	0
4026341	4026341	0	0
4026342	4026342	0	0
4026343	4026343	0	0
4026344	4026344	0	0
4026345	4026345	0	0
4026346	4026346	0	0
4036936	4036936	0	0
4036938	4036938	0	0
4036939	4036939	0	0
4036951	4036951	0	0
4036952	4036952	0	0
4036956	4036956	0	0
4036961	4036961	0	0
4036962	4036962	0	0
4036810	4036810	0	0
4036811	4036811	0	0
4036812	4036812	0	0
4036813	4036813	0	0
4036814	4036814	0	0
4036815	4036815	0	0
4036816	4036816	0	0
4036817	4036817	0	0
4036818	4036818	0	0
4036819	4036819	0	0
4036821	4036821	0	0
4036823	4036823	0	0
4036824	4036824	0	0
4036825	4036825	0	0
4036826	4036826	0	0
4036827	4036827	0	0
4036828	4036828	0	0
4036829	4036829	0	0
4036830	4036830	0	0
4036831	4036831	0	0
4036832	4036832	0	0
4036833	4036833	0	0
4036834	4036834	0	0
4036835	4036835	0	0
4036848	4036848	0	0
4036873	4036873	0	0
4036874	4036874	0	0
4036875	4036875	0	0
4036702	4036702	0	0
4036703	4036703	0	0
4036704	4036704	0	0
4036705	4036705	0	0
4036706	4036706	0	0
4036707	4036707	0	0
4036709	4036709	0	0
4036711	4036711	0	0
4036712	4036712	0	0
4036719	4036719	0	0
4036742	4036742	0	0
4036743	4036743	0	0
4036744	4036744	0	0
4036745	4036745	0	0
4036746	4036746	0	0
4036747	4036747	0	0
4036748	4036748	0	0
4036749	4036749	0	0
4036750	4036750	0	0
4036751	4036751	0	0
4023730	4023730	0	0
4023731	4023731	0	0
4023732	4023732	0	0
4023733	4023733	0	0
4023734	4023734	0	0
4023735	4023735	0	0
4023736	4023736	0	0
4023737	4023737	0	0
4023738	4023738	0	0
4023744	4023744	0	0
4023746	4023746	0	0
4023750	4023750	0	0
4023756	4023756	0	0
4023759	4023759	0	0
4023760	4023760	0	0
4023762	4023762	0	0
4023763	4023763	0	0
4023766	4023766	0	0
4023769	4023769	0	0
4023772	4023772	0	0
4023631	4023631	0	0
4023632	4023632	0	0
4023633	4023633	0	0
4023634	4023634	0	0
4023635	4023635	0	0
4023636	4023636	0	0
4023637	4023637	0	0
4023638	4023638	0	0
4023639	4023639	0	0
4023640	4023640	0	0
4023641	4023641	0	0
4023642	4023642	0	0
4023643	4023643	0	0
4023644	4023644	0	0
4023645	4023645	0	0
4023646	4023646	0	0
4023647	4023647	0	0
4023648	4023648	0	0
4023649	4023649	0	0
4023650	4023650	0	0
4023651	4023651	0	0
4013944	4013944	0	0
4013945	4013945	0	0
4013946	4013946	0	0
4013947	4013947	0	0
4013948	4013948	0	0
4013949	4013949	0	0
4013950	4013950	0	0
4013952	4013952	0	0
4013953	4013953	0	0
4013954	4013954	0	0
4013955	4013955	0	0
4013956	4013956	0	0
4013957	4013957	0	0
4013958	4013958	0	0
4013959	4013959	0	0
4013960	4013960	0	0
4013961	4013961	0	0
4013999	4013999	0	0
4014006	4014006	0	0
4014010	4014010	0	0
4014011	4014011	0	0
4014012	4014012	0	0
4023587	4023587	0	0
4023595	4023595	0	0
4023596	4023596	0	0
4026916	4026916	0	0
4026917	4026917	0	0
4026921	4026921	0	0
4026932	4026932	0	0
4026933	4026933	0	0
4026934	4026934	0	0
4025262	4025262	0	0
4025263	4025263	0	0
4025264	4025264	0	0
4025266	4025266	0	0
4025267	4025267	0	0
4025269	4025269	0	0
4025270	4025270	0	0
4025271	4025271	0	0
4025272	4025272	0	0
4025273	4025273	0	0
4025274	4025274	0	0
4025275	4025275	0	0
4025276	4025276	0	0
4025277	4025277	0	0
4025279	4025279	0	0
4025280	4025280	0	0
4025282	4025282	0	0
4025284	4025284	0	0
4025285	4025285	0	0
4025286	4025286	0	0
4025287	4025287	0	0
4025288	4025288	0	0
4025289	4025289	0	0
4025290	4025290	0	0
4025291	4025291	0	0
4025292	4025292	0	0
4025293	4025293	0	0
4025294	4025294	0	0
4025295	4025295	0	0
4025296	4025296	0	0
4025297	4025297	0	0
4025298	4025298	0	0
4025299	4025299	0	0
4025300	4025300	0	0
4025301	4025301	0	0
4025302	4025302	0	0
4025303	4025303	0	0
4025304	4025304	0	0
4025305	4025305	0	0
4025306	4025306	0	0
4025106	4025106	0	0
4025107	4025107	0	0
4025108	4025108	0	0
4025109	4025109	0	0
4025110	4025110	0	0
4025111	4025111	0	0
4025113	4025113	0	0
4025115	4025115	0	0
4025128	4025128	0	0
4025131	4025131	0	0
4025132	4025132	0	0
4025134	4025134	0	0
4025135	4025135	0	0
4025136	4025136	0	0
4025137	4025137	0	0
4025138	4025138	0	0
4025139	4025139	0	0
4025140	4025140	0	0
4025141	4025141	0	0
4025142	4025142	0	0
4023471	4023471	0	0
4023473	4023473	0	0
4023474	4023474	0	0
4023475	4023475	0	0
4023476	4023476	0	0
4023477	4023477	0	0
4023478	4023478	0	0
4023480	4023480	0	0
4023481	4023481	0	0
4023482	4023482	0	0
4023483	4023483	0	0
4023484	4023484	0	0
4023486	4023486	0	0
4023487	4023487	0	0
4023488	4023488	0	0
4023489	4023489	0	0
4023490	4023490	0	0
4023491	4023491	0	0
4023492	4023492	0	0
4023493	4023493	0	0
4023494	4023494	0	0
4023496	4023496	0	0
4023498	4023498	0	0
4023499	4023499	0	0
4023500	4023500	0	0
4023501	4023501	0	0
4023502	4023502	0	0
4023503	4023503	0	0
4023504	4023504	0	0
4023505	4023505	0	0
4023506	4023506	0	0
4023507	4023507	0	0
4023508	4023508	0	0
4023509	4023509	0	0
4023510	4023510	0	0
4023511	4023511	0	0
4023512	4023512	0	0
4023513	4023513	0	0
4023514	4023514	0	0
4023515	4023515	0	0
4023516	4023516	0	0
4023517	4023517	0	0
4023518	4023518	0	0
4026735	4026735	0	0
4026736	4026736	0	0
4026737	4026737	0	0
4026738	4026738	0	0
4026739	4026739	0	0
4026740	4026740	0	0
4026741	4026741	0	0
4026743	4026743	0	0
4026744	4026744	0	0
4025208	4025208	0	0
4025210	4025210	0	0
4025211	4025211	0	0
4025222	4025222	0	0
4025223	4025223	0	0
4025224	4025224	0	0
4025225	4025225	0	0
4025226	4025226	0	0
4025227	4025227	0	0
4025228	4025228	0	0
4025229	4025229	0	0
4025230	4025230	0	0
4025231	4025231	0	0
4025233	4025233	0	0
4025235	4025235	0	0
4025236	4025236	0	0
4025237	4025237	0	0
4025238	4025238	0	0
4025239	4025239	0	0
4036752	4036752	0	0
4036753	4036753	0	0
4036754	4036754	0	0
4036755	4036755	0	0
4036756	4036756	0	0
4036757	4036757	0	0
4036758	4036758	0	0
4019914	4019914	0	0
4019915	4019915	0	0
4019623	4019623	0	0
4025518	4025518	0	0
4025519	4025519	0	0
4025307	4025307	0	0
4025308	4025308	0	0
4025310	4025310	0	0
4023521	4023521	0	0
4023259	4023259	0	0
4023260	4023260	0	0
4023261	4023261	0	0
4023262	4023262	0	0
4023263	4023263	0	0
4023264	4023264	0	0
4023265	4023265	0	0
4023266	4023266	0	0
4023301	4023301	0	0
4023302	4023302	0	0
4023303	4023303	0	0
4023304	4023304	0	0
4023305	4023305	0	0
4023306	4023306	0	0
4023307	4023307	0	0
4023311	4023311	0	0
4023312	4023312	0	0
4023333	4023333	0	0
4023334	4023334	0	0
4023335	4023335	0	0
4023337	4023337	0	0
4023338	4023338	0	0
4023339	4023339	0	0
4023340	4023340	0	0
4023341	4023341	0	0
4023331	4023331	0	0
4023342	4023342	0	0
4023343	4023343	0	0
4023345	4023345	0	0
4023354	4023354	0	0
4023358	4023358	0	0
4023359	4023359	0	0
4023361	4023361	0	0
4023362	4023362	0	0
4023367	4023367	0	0
4023368	4023368	0	0
4023369	4023369	0	0
4023374	4023374	0	0
4023375	4023375	0	0
4023376	4023376	0	0
4023377	4023377	0	0
4023380	4023380	0	0
4023381	4023381	0	0
4023383	4023383	0	0
4023384	4023384	0	0
4023385	4023385	0	0
4023387	4023387	0	0
4023388	4023388	0	0
4023398	4023398	0	0
4023409	4023409	0	0
