concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
4236533	4159607	Part of	20110731	20991231	
4034855	4147323	Temporal context of	20110731	20991231	
4297788	4019422	Indir proc site of	20110731	20991231	
4264173	4223885	Active ing of	20110731	20991231	
4053015	4322865	Asso morph of	20110731	20991231	
4117981	4194274	Method of	20110731	20991231	
4001226	40492414	Specimen of	20110731	20991231	
4113321	4110622	Interprets of	20110731	20991231	
4029830	4088754	Asso morph of	20110731	20991231	
4288283	4267413	Finding site of	20110731	20991231	
4219505	4043682	Proc site of	20110731	20991231	
4080761	4111759	Laterality of	20110731	20991231	
4159933	4178384	Causative agent of	20110731	20991231	
4241989	4196188	Subsumes	20110731	20991231	
4126280	4323899	Subsumes	20110731	20991231	
4076658	4074321	Subsumes	20110731	20991231	
4118608	4122950	Subsumes	20110731	20991231	
440760	4216820	Subsumes	20110731	20991231	
4040386	4038667	Subsumes	20110731	20991231	
4120595	4108023	Subsumes	20110731	20991231	
318247	314479	Subsumes	20110731	20991231	
4090131	4220019	Subsumes	20110731	20991231	
4232242	4202639	Subsumes	20110731	20991231	
4325605	4183735	Subsumes	20110731	20991231	
4027384	434821	Subsumes	20110731	20991231	
4120835	4162205	Subsumes	20110731	20991231	
4044525	4033840	Method of	20110731	20991231	
4097520	4090721	Finding site of	20110731	20991231	
4044177	4092956	Method of	20110731	20991231	
4225330	4247873	Active ing of	20110731	20991231	
4045073	4341513	Method of	20110731	20991231	
4230791	4116623	Subsumes	20110731	20991231	
4213297	4132408	Subsumes	20110731	20991231	
4049776	4145430	Subsumes	20110731	20991231	
4310912	4158837	Subsumes	20110731	20991231	
4273532	4080783	Subsumes	20110731	20991231	
4110086	4074936	Subsumes	20110731	20991231	
435140	441761	Subsumes	20110731	20991231	
4265994	4274400	Subsumes	20110731	20991231	
4232211	4353142	Subsumes	20110731	20991231	
4236325	4232362	Part of	20110731	20991231	
4223428	4314881	Part of	20110731	20991231	
4030314	4129220	Asso morph of	20110731	20991231	
4041306	4038737	Interprets of	20110731	20991231	
4306708	4135460	Active ing of	20110731	20991231	
4290594	4278238	Acc device used by	20110731	20991231	
40484098	4334873	Pathology of	20110731	20991231	
4009105	4143845	Finding site of	20110731	20991231	
4156637	4149096	Part of	20110731	20991231	
4279699	4030337	Asso morph of	20110731	20991231	
4094242	4219036	Specimen topo of	20110731	20991231	
4219297	4345572	Causative agent of	20110731	20991231	
4222565	4096638	Finding site of	20110731	20991231	
4234437	4140316	Method of	20110731	20991231	
4117981	4062738	Method of	20110731	20991231	
4044524	4118191	Method of	20110731	20991231	
4145283	4108164	Finding site of	20110731	20991231	
4201696	4200805	Interprets of	20110731	20991231	
4044182	4206905	Method of	20110731	20991231	
4029540	4168318	Asso morph of	20110731	20991231	
4219601	4299138	Finding site of	20110731	20991231	
4235170	4144841	Part of	20110731	20991231	
4301085	4161483	Causative agent of	20110731	20991231	
